year,escp,R1_1,R1_2,R2_1,R1_3,R2_2,R2_3,RTRN
1972,6981,404,16832,220,5002,249,115,22822
1973,2705,202,2904,10,525,102,0,3744
1974,16225,601,2877,0,804,1028,0,5310
1975,29882,1894,91054,0,19940,10842,420,124652
1976,14032,11122,61488,2387,36664,4286,1635,117583
1977,5146,3257,56561,0,50305,1125,724,111972
1978,3398,656,12699,0,3418,5603,4707,27788
1979,65552,2293,228862,588,30427,30500,1877,294546
1980,58963,11566,249384,1346,71193,5806,1290,340716
1981,45987,1369,65777,171,19708,9959,0,96983
1982,21438,4835,38516,1032,8462,12392,0,65237
1983,108040,4264,181669,0,3740,4663,7289,202017
1984,179777,8096,166341,739,32699,13291,11957,233124
1985,54584,16137,82483,4844,58352,31119,3373,196490
1986,18393,6462,42061,605,18666,6495,2121,76668
1987,76314,606,87935,0,21013,33176,19283,162013
1988,58038,5788,139272,680,113523,56502,16103,332716
1989,53932,236,169596,1135,39680,39891,33236,284584
1990,35197,1691,95464,2045,69799,32281,5948,208222
1991,53025,6505,126496,1778,19827,33074,7505,195556
1992,63960,10627,122759,334,36566,9430,5305,185253
1993,110114,595,60180,0,31007,1638,579,94172
1994,88722,129,2518,155,1254,3618,1277,9145
1995,108340,157,32659,267,8758,2440,4228,48641
1996,56797,3237,22260,515,34183,5069,868,66194
1997,48513,245,16441,942,5273,20256,9835,54110
1998,18789,2148,92014,1911,77908,17075,3715,195156
1999,25199,3023,37036,433,18131,814,392,59829
2000,16704,271,14080,132,2970,2626,283,20363
2001,39093,624,10421,178,3397,2192,726,18704
2002,86181,2198,27989,346,17899,2156,483,51071
2003,86858,1988,21768,174,6922,1210,0,32113
2004,20065,1124,11111,692,11922,7855,4059,36763
2005,12140,4606,81507,1823,29576,25905,11678,155095
2006,26712,8600,145990,245,85664,12467,906,263099
2007,23845,4993,87157,220,8500,974,234,103023
2008,19313,1263,16365,31,3221,177,1301,22358
2009,74245,216,17431,30,6704,3777,1685,33489
2010,126333,209,46063,214,18068,4181,1128,69863
2011,66591,6670,93528,264,22007,4938,957,128365
2012,18813,2373,33829,0,7896,2068,445,46611
2013,18912,2092,57024,612,10598,5576,0,75902
2014,43915,14793,77992,579,2614,3205,294,99477
2015,102309,3862,80197,262,7946,3644,607,96518
2016,46202,3894,57943,450,12450,16013,.,.
2017,61469,3411,89725,484,.,.,.,.
2018,70588,2379,.,.,.,.,.,.
2019,75411,,,,,,,
